SMILES,code_name
C#CCCNC(=O)COCC,171
C#CCCNC(=O)c1ccc(=O)oc1,172
C#CCCNC(=O)c1ccc(F)c(F)c1,173
C#CCCNC(=O)c1ccccc1,174
C#CCCNC(=O)c1cccn(C)c1=O,175
C#CCCNC(=O)c1ccno1,176
C#CCCNC(C)=O,177
C#CCCNCC(F)(F)F,178
C#CCCO,179
C#CCCOC(=O)C(C)(C)Br,180
C#CCCOC(=O)c1ccc(OC)cc1,181
C#CCCOC(=O)c1ccncn1,182
C#CCCOC(C)=O,183
C#CCCOCCC(=O)OC(C)(C)C,184
C#CCCOCc1ccccc1,185
C#CCCOc1cc(C)nc(Cl)n1,186
C#CCCOc1ccc(C=O)cc1,187
C#CCCOc1ccccc1,188
C#CCCOc1ccccc1C=O,189
C#CCCc1ccc(CO)cc1,190
C#CCCc1ccccc1,191
C#CCCc1ccccc1Br,192
C#CCCc1cn2ccccc2n1,193
C#CCCc1cnc[nH]1,194
C#CCN(C(C)=O)c1ccc(OC)cc1,195
C#CCN(C)C(=O)CCc1ccncc1,196
C#CCN(C)C(=O)c1ccc(Cl)c(F)c1,197
C#CCN(C)C(=O)c1ccc(Cl)cc1C,198
C#CCN(C)C(=O)c1ccc(O)cc1C,199
C#CCN(C)C(=O)c1ccncc1Br,200
C#CCN(C)C(=O)c1ccncc1CC,201
C#CCN(C)C(=O)c1ncncc1Cl,202
C#CCN(C)C(C)=O,203
C#CCN(C)CC(=O)N1CCC(C)CC1,204
C#CCN(C)CC(=O)N1CCCCCC1,205
C#CCN(C)Cc1ccc2c(c1)OCO2,206
C#CCN(C)Cc1ccccc1Cl,207
C#CCN(C)Cc1ccncc1,208
C#CCN(C)Cc1cnc(N(C)C)nc1,209
C#CCN(C)c1ccccc1,210
C#CCN(CC)c1ccccc1,211
C#CCN(CCC(=O)O)C(C)C,212
C#CCN(CCO)Cc1ccccc1,213
C#CCN1C(=O)C(=O)c2cc(Br)ccc21,214
C#CCN1C(=O)C(=O)c2cc(C)ccc21,215
C#CCN1C(=O)C(=O)c2cccc(C)c21,216
C#CCN1C(=O)C(=O)c2ccccc21,217
C#CCN1C(=O)CCC1=O,218
C#CCN1C(=O)COCC1=O,219
C#CCN1C(=O)COc2ccc(Br)cc21,220
C#CCN1C(=O)Cc2ccccc21,221
C#CCN1C(=O)Cc2ccccc2C1=O,222
C#CCN1C(=O)c2ccccc2C1=O,223
C#CCN1CC(=O)N(C(C)C)C(C)(C)C1,224
C#CCN1CCC(=O)CC1,225
C#CCN1CCC(C(=O)O)CC1,226
C#CCN1CCC(C(=O)OC)CC1,227
C#CCN1CCC(C(=O)OCC)CC1,228
C#CCN1CCC(C(F)(F)F)CC1,229
C#CCN1CCC(F)(F)CC1,230
C#CCN1CCCC1=O,231
C#CCN1CCCCC1=O,232
C#CCN1CCCCCC1=O,233
C#CCN1CCN(C(C)=O)CC1,234
C#CCN1CCN(C)CC1,235
C#CCN1CCN(CCOC)CC1,236
C#CCN1CCN(c2ncccn2)CC1,237
C#CCN1CCNC(=O)C1,238
C#CCN1CCNCC1=O,239
C#CCN1CCOCC1,240
C#CCN1CCOCC1=O,241
C#CCN1Cc2ccccc2C1,242
C#CCNC(=O)C(CC)CC,243
C#CCNC(=O)C1CCCC1,244
C#CCNC(=O)C1CCCCC1,245
C#CCNC(=O)CC,246
C#CCNC(=O)CN1CCCCCC1=O,247
C#CCNC(=O)CN1CCOC(C)(C)C1,248
C#CCNC(=O)CN1CCOCC1(C)C,249
C#CCNC(=O)COC,250
C#CCNC(=O)COc1ccc(Br)cc1,251
C#CCNC(=O)Cc1c(C)noc1C,252
C#CCNC(=O)Cc1c(Cl)cccc1Cl,253
C#CCNC(=O)Cc1c(F)cccc1Cl,254
